status,propertyType,baths,fireplace,city,schools,sqft,zipcode,beds,state,stories,target
125,1245,3.0,1592,812,221713,2176.0,1677,3.0,31,2.0,264900.0
125,1244,3.0,1535,1543,211965,2072.0,122,5.0,24,2.0,799000.0
125,1245,2.0,1592,1395,100949,1617.0,1457,3.0,7,1.0,280000.0
116,1129,2.5,1535,1069,84648,1766.0,1621,3.0,31,1.0,475000.0
125,1241,2.5,1535,1088,31361,225667.0,94,3.0,24,14.0,455000.0
125,1245,5.0,1592,1141,170429,4773.0,1545,4.0,7,1.0,649000.0
125,1240,2.5,1592,1395,94773,825.0,1456,3.0,7,2.0,75950.0
4,1129,3.0,1535,278,223222,2091.0,1007,3.0,21,2.0,304990.0
125,1245,2.0,1535,1208,209422,2608.0,1297,4.0,7,1.0,409000.0
4,1228,2.5,98,1069,226172,3671.0,1636,3.0,31,2.0,946900.0
4,1129,4.0,1535,278,225633,3464.0,41,4.0,35,2.0,743900.0
125,1245,4.0,1592,35,173410,4291.0,2968,5.0,32,2.0,589900.0
4,1129,4.5,1535,819,83876,3142.0,1570,6.0,7,2.0,504000.0
4,683,2.5,1535,548,84939,2424.0,1388,3.0,7,2.0,630000.0
124,1128,3.0,1535,726,216593,1940.0,2701,2.0,32,2.0,305000.0
125,1245,3.0,1535,1199,237433,3023.0,1312,5.0,7,1.0,665000.0
125,1245,3.0,1592,75,105644,2233.0,2943,3.0,32,2.0,324900.0
66,399,1.0,1535,1382,67526,840.0,3884,2.0,3,1.0,165000.0
125,1245,2.0,1535,186,14140,1403.0,1878,2.0,25,1.0,79850.0
4,738,2.5,7,1693,12787,4900.0,486,3.0,5,2.0,2879000.0
77,1129,1.0,1535,1589,80443,1196.0,4087,3.0,36,2.0,274500.0
125,1240,2.0,1535,1208,216688,953.0,1296,2.0,7,4.0,159900.0
4,469,2.0,1535,819,85796,1300.0,1569,3.0,7,2.0,240000.0
125,1246,2.5,1535,1221,3031,806.0,454,3.0,29,2.0,59900.0
125,1245,3.0,1535,1193,142975,2516.0,1208,4.0,7,1.0,479000.0
125,1244,2.0,1535,299,79194,2220.0,1927,3.0,25,2.0,139000.0
125,1245,2.0,1592,566,233488,1804.0,3690,3.0,3,1.0,400000.0
4,1129,3.0,1535,1577,127119,2025.0,3227,4.0,1,2.0,316990.0
125,1245,3.0,1592,808,101209,4194.0,2608,5.0,32,1.0,509900.0
4,1129,2.0,1535,1465,181623,1460.0,4026,4.0,36,2.0,700000.0
125,1240,3.0,1535,291,32977,2000.0,2288,3.0,11,3.0,635000.0
125,1240,3.0,1535,1193,172602,1475.0,1211,3.0,7,1.0,549000.0
125,1245,3.0,1592,815,233233,2344.0,2731,5.0,32,2.0,220000.0
125,1245,2.0,1535,1403,35552,1759.0,2843,3.0,32,1.0,252555.0
4,1129,2.0,1535,726,56284,2270.0,2660,3.0,32,1.0,388800.0
125,1245,2.5,1535,750,243139,1012.0,1997,3.0,12,2.0,77900.0
124,1128,3.0,1535,726,127655,2750.0,2646,4.0,32,2.0,415000.0
125,1246,3.0,1592,726,105945,2265.0,2706,3.0,32,2.0,207900.0
124,1128,2.0,1535,726,63321,1518.0,2704,3.0,32,1.0,249900.0
125,1245,4.0,1592,1444,171015,3524.0,4013,4.0,36,2.0,1799000.0
125,1245,4.0,1592,1381,20810,3518.0,2431,5.0,32,2.0,339000.0
125,1245,4.0,1592,676,209695,3421.0,2808,5.0,32,2.0,380000.0
125,1240,2.0,1535,1165,231160,2030.0,1259,2.0,7,4.0,319000.0
66,949,8.0,1535,1137,58730,5225.0,3777,14.0,3,2.0,2100000.0
124,399,4.0,1535,990,14989,2293.0,1322,3.0,7,2.0,1650000.0
125,1245,2.0,1535,1256,163214,1732.0,3935,2.0,27,2.0,339000.0
115,1129,2.0,1535,203,689,1092.0,2789,3.0,32,2.0,155000.0
66,1128,1.0,1535,385,186716,5062.0,2475,5.0,32,2.0,205000.0
119,1129,2.0,8,1210,183544,1680.0,3224,3.0,1,1.0,275000.0
125,1245,3.0,1535,726,110961,2248.0,2631,3.0,32,2.0,479900.0
12,1129,2.0,914,1411,221901,1782.0,3423,3.0,3,2.0,1358688.0
125,1245,5.0,1592,1237,72869,4358.0,1396,5.0,7,2.0,949500.0
4,1228,2.5,1535,548,179382,1100.0,1389,3.0,7,2.0,449000.0
125,1245,5.0,1592,193,23196,2603.0,184,4.0,24,2.0,5895000.0
4,863,2.5,1535,606,88705,0.0,3200,3.0,1,2.0,99900.0
126,1245,2.0,1535,309,136531,1100.0,1468,2.0,7,1.0,79500.0
66,1128,2.0,1591,556,169313,1905.0,2589,3.0,32,2.0,169900.0
125,1245,3.0,1535,252,77496,2686.0,1516,4.0,7,1.0,497000.0
125,1246,3.0,1535,686,19217,1592.0,1288,3.0,7,2.0,315000.0
77,1129,1.0,1535,1589,24515,1452.0,4087,3.0,36,2.0,200000.0
125,1245,2.0,1535,1403,114484,1496.0,2865,3.0,32,1.0,183900.0
125,1244,2.0,1535,143,60543,2616.0,300,4.0,24,2.0,180000.0
4,1189,2.5,7,726,205960,2136.0,2701,3.0,32,1.0,235000.0
125,1245,3.0,1592,1256,107948,3230.0,3925,4.0,27,3.0,579000.0
125,1245,2.5,1535,1155,200391,1774.0,1869,3.0,25,1.0,104900.0
125,1245,2.5,1535,726,58990,1337.0,2628,3.0,32,1.0,142000.0
124,1128,2.0,1535,1395,64944,1008.0,1459,2.0,7,1.0,165856.0
124,1128,2.0,1535,726,100957,1844.0,2669,4.0,32,2.0,182490.0
12,469,3.0,1535,1710,176633,1560.0,3353,2.0,3,2.0,999000.0
79,863,0.0,1535,726,47268,0.0,2646,3.0,32,2.0,39900.0
125,1245,6.0,1592,278,161394,5766.0,992,5.0,21,2.0,684900.0
66,1128,3.0,1535,70,40616,1700.0,1054,3.0,9,2.0,369000.0
77,1129,2.0,7,1444,182336,2500.0,4013,4.0,36,2.0,699950.0
4,1129,2.5,1535,726,79767,1540.0,2643,3.0,32,2.0,289700.0
125,1245,2.5,1535,1209,43852,738.0,1213,2.0,7,1.0,49000.0
125,1245,2.0,1535,881,93207,1408.0,1509,3.0,7,1.0,204999.0
125,1245,2.0,1535,556,100974,2200.0,2562,3.0,32,1.0,199999.0
4,668,2.5,1535,1190,12639,2101.0,1345,3.0,7,2.0,590000.0
66,1175,3.0,1535,765,230334,1368.0,1186,3.0,7,2.0,182500.0
125,1245,2.5,1592,726,59471,1027.0,2677,2.0,32,1.0,119900.0
125,1241,2.5,1535,898,143340,980.0,218,3.0,24,1.0,385000.0
125,1246,2.0,1535,1221,4009,1280.0,442,3.0,29,3.0,285000.0
